State,Year,Quarter,Brands,Count,Percentage,S.no
andaman-&-nicobar-islands,2021,4,Tecno,1417,0.019740875,174
andaman-&-nicobar-islands,2021,4,Motorola,1055,0.014697687,175
andaman-&-nicobar-islands,2021,4,Others,4572,0.063694622,176
andaman-&-nicobar-islands,2022,1,Vivo,18688,0.244966443,177
andaman-&-nicobar-islands,2022,1,Xiaomi,17957,0.235384333,178
andaman-&-nicobar-islands,2022,1,Samsung,12955,0.169817009,179
andaman-&-nicobar-islands,2022,1,Realme,6769,0.088729551,180
andaman-&-nicobar-islands,2022,1,Oppo,6461,0.084692219,181
andaman-&-nicobar-islands,2022,1,OnePlus,3005,0.039390206,182
andaman-&-nicobar-islands,2022,1,Tecno,1770,0.023201552,183
andaman-&-nicobar-islands,2022,1,Apple,1634,0.021418834,184
andaman-&-nicobar-islands,2022,1,Huawei,1441,0.018888947,185
andaman-&-nicobar-islands,2022,1,Motorola,1050,0.013763633,186
andaman-&-nicobar-islands,2022,1,Others,4558,0.059747273,187
andhra-pradesh,2018,1,Xiaomi,836581,0.250739858,188
andhra-pradesh,2018,1,Samsung,683687,0.204914505,189
andhra-pradesh,2018,1,Vivo,425959,0.12766833,190
andhra-pradesh,2018,1,Oppo,304487,0.091260771,191
andhra-pradesh,2018,1,Realme,236646,0.070927483,192
andhra-pradesh,2018,1,Motorola,129739,0.038885342,193
andhra-pradesh,2018,1,OnePlus,129421,0.038790031,194
andhra-pradesh,2018,1,Apple,123274,0.036947654,195
andhra-pradesh,2018,1,Lenovo,84138,0.025217821,196
andhra-pradesh,2018,1,Huawei,76654,0.022974719,197
andhra-pradesh,2018,1,Others,305864,0.091673485,198
andhra-pradesh,2018,2,Xiaomi,1113800,0.252990319,199
andhra-pradesh,2018,2,Samsung,903290,0.20517474,200
andhra-pradesh,2018,2,Vivo,586965,0.133324172,201
andhra-pradesh,2018,2,Oppo,410549,0.093252759,202
andhra-pradesh,2018,2,Realme,305964,0.069497154,203
andhra-pradesh,2018,2,Motorola,169847,0.03857932,204
andhra-pradesh,2018,2,OnePlus,155418,0.035301894,205
andhra-pradesh,2018,2,Apple,151847,0.034490771,206
andhra-pradesh,2018,2,Lenovo,107441,0.024404321,207
andhra-pradesh,2018,2,Huawei,102929,0.023379458,208
andhra-pradesh,2018,2,Others,394490,0.089605092,209
andhra-pradesh,2018,3,Xiaomi,1385112,0.255197078,210
andhra-pradesh,2018,3,Samsung,1103186,0.203254209,211
andhra-pradesh,2018,3,Vivo,761793,0.140354966,212
andhra-pradesh,2018,3,Oppo,518120,0.095459941,213
andhra-pradesh,2018,3,Realme,379712,0.069959247,214
andhra-pradesh,2018,3,Motorola,203756,0.0375406,215
andhra-pradesh,2018,3,OnePlus,181364,0.033415033,216
andhra-pradesh,2018,3,Apple,175343,0.032305706,217
andhra-pradesh,2018,3,Huawei,134429,0.024767591,218
andhra-pradesh,2018,3,Lenovo,122489,0.022567731,219
andhra-pradesh,2018,3,Others,462313,0.085177897,220
andhra-pradesh,2018,4,Xiaomi,1753802,0.255752865,221
andhra-pradesh,2018,4,Samsung,1388061,0.202417706,222
andhra-pradesh,2018,4,Vivo,1011185,0.147458756,223
