State,District,Year,Quarter,Count,Amount,S.no
andhra-pradesh,kurnool district,2020,2,9821381,22419372062,187
andhra-pradesh,chittoor district,2020,2,14848197,27361300300,188
andhra-pradesh,guntur district,2020,2,12308707,27463593608,189
andhra-pradesh,krishna district,2020,2,12313709,26964149095,190
andhra-pradesh,east godavari district,2020,3,17972431,39300043805,191
andhra-pradesh,srikakulam district,2020,3,8286289,18029574581,192
andhra-pradesh,spsr nellore district,2020,3,16468209,39128324534,193
andhra-pradesh,vizianagaram district,2020,3,8236703,17567816577,194
andhra-pradesh,visakhapatnam district,2020,3,34421299,67628440368,195
andhra-pradesh,prakasam district,2020,3,12266310,31221704852,196
andhra-pradesh,anantapur district,2020,3,14447683,34102037973,197
andhra-pradesh,ysr district,2020,3,11934653,32037007334,198
andhra-pradesh,west godavari district,2020,3,10412351,25408608726,199
andhra-pradesh,kurnool district,2020,3,13243292,32529351107,200
andhra-pradesh,chittoor district,2020,3,20501863,42811566246,201
andhra-pradesh,guntur district,2020,3,17601395,42531195810,202
andhra-pradesh,krishna district,2020,3,19110457,44788458672,203
andhra-pradesh,east godavari district,2020,4,25989490,58732615663,204
andhra-pradesh,srikakulam district,2020,4,11092184,25222520275,205
andhra-pradesh,spsr nellore district,2020,4,20934374,49115443663,206
andhra-pradesh,vizianagaram district,2020,4,10580824,24094847668,207
andhra-pradesh,visakhapatnam district,2020,4,46551467,91879823025,208
andhra-pradesh,prakasam district,2020,4,16176867,41852443494,209
andhra-pradesh,anantapur district,2020,4,20996384,49732610814,210
andhra-pradesh,ysr district,2020,4,15676878,42572974713,211
andhra-pradesh,west godavari district,2020,4,15674762,40310975763,212
andhra-pradesh,kurnool district,2020,4,18737323,44718203115,213
andhra-pradesh,chittoor district,2020,4,29590411,61505711150,214
andhra-pradesh,guntur district,2020,4,26136538,60641872021,215
andhra-pradesh,krishna district,2020,4,27981050,64461504668,216
andhra-pradesh,east godavari district,2021,1,26190701,60027984988,217
andhra-pradesh,srikakulam district,2021,1,11160473,26486623313,218
andhra-pradesh,spsr nellore district,2021,1,22541428,52210333202,219
andhra-pradesh,vizianagaram district,2021,1,10514582,24153782497,220
andhra-pradesh,visakhapatnam district,2021,1,48248923,95308386038,221
andhra-pradesh,prakasam district,2021,1,15175395,41396223622,222
andhra-pradesh,anantapur district,2021,1,20102957,48353870395,223
andhra-pradesh,ysr district,2021,1,15374473,42570919449,224
andhra-pradesh,west godavari district,2021,1,16015685,42124030669,225
andhra-pradesh,kurnool district,2021,1,17918524,44941629660,226
andhra-pradesh,chittoor district,2021,1,29342609,60947491847,227
andhra-pradesh,guntur district,2021,1,27445045,64207987853,228
andhra-pradesh,krishna district,2021,1,29717175,69715406645,229
andhra-pradesh,east godavari district,2021,2,31717908,74604325864,230
andhra-pradesh,srikakulam district,2021,2,13546232,32298129545,231
andhra-pradesh,spsr nellore district,2021,2,30290406,72283071757,232
andhra-pradesh,vizianagaram district,2021,2,12689494,29140685237,233
andhra-pradesh,visakhapatnam district,2021,2,54390299,1.14E+11,234
andhra-pradesh,prakasam district,2021,2,19944047,54535328043,235
andhra-pradesh,anantapur district,2021,2,25123346,60987487571,236
andhra-pradesh,ysr district,2021,2,18457361,52523527031,237
andhra-pradesh,west godavari district,2021,2,20950964,57233116236,238
andhra-pradesh,kurnool district,2021,2,21972396,56659287475,239
andhra-pradesh,chittoor district,2021,2,34344902,73654690122,240
andhra-pradesh,guntur district,2021,2,32968819,82356914464,241
andhra-pradesh,krishna district,2021,2,36370960,90021923050,242
andhra-pradesh,east godavari district,2021,3,39572714,89380370073,243
andhra-pradesh,srikakulam district,2021,3,15639768,34836400770,244
andhra-pradesh,spsr nellore district,2021,3,34411958,77839676988,245
andhra-pradesh,vizianagaram district,2021,3,14510005,31383541628,246
andhra-pradesh,visakhapatnam district,2021,3,69220981,1.37E+11,247
andhra-pradesh,prakasam district,2021,3,24116580,63367713447,248
andhra-pradesh,anantapur district,2021,3,30366444,70291248156,249
andhra-pradesh,ysr district,2021,3,22439316,60683557725,250
andhra-pradesh,west godavari district,2021,3,26245039,66647238455,251
andhra-pradesh,kurnool district,2021,3,26377809,62527453762,252
andhra-pradesh,chittoor district,2021,3,42628568,89371931753,253
andhra-pradesh,guntur district,2021,3,41675093,96525353090,254
andhra-pradesh,krishna district,2021,3,44828275,1.04E+11,255
andhra-pradesh,east godavari district,2021,4,48992531,1.07E+11,256
andhra-pradesh,srikakulam district,2021,4,18501857,39713657870,257
andhra-pradesh,spsr nellore district,2021,4,41921081,92256405076,258
andhra-pradesh,vizianagaram district,2021,4,17253059,36577529465,259
andhra-pradesh,visakhapatnam district,2021,4,82711538,1.60E+11,260
andhra-pradesh,prakasam district,2021,4,27858275,71323060008,261
andhra-pradesh,anantapur district,2021,4,36129136,81239787007,262
andhra-pradesh,ysr district,2021,4,26340348,69081850069,263
andhra-pradesh,west godavari district,2021,4,33235175,81292461575,264
andhra-pradesh,kurnool district,2021,4,31782248,73968947670,265
andhra-pradesh,chittoor district,2021,4,51119640,1.04E+11,266
andhra-pradesh,guntur district,2021,4,50919286,1.16E+11,267
andhra-pradesh,krishna district,2021,4,55489829,1.25E+11,268
andhra-pradesh,east godavari district,2022,1,54738830,1.21E+11,269
andhra-pradesh,srikakulam district,2022,1,20990782,46898912116,270
andhra-pradesh,spsr nellore district,2022,1,47645702,1.05E+11,271
andhra-pradesh,vizianagaram district,2022,1,19278262,41994853362,272
andhra-pradesh,visakhapatnam district,2022,1,88233362,1.70E+11,273
andhra-pradesh,prakasam district,2022,1,31340975,79494373255,274
andhra-pradesh,anantapur district,2022,1,40613148,90197023268,275
andhra-pradesh,ysr district,2022,1,29783739,78421693519,276
andhra-pradesh,west godavari district,2022,1,37271259,92397939904,277
andhra-pradesh,kurnool district,2022,1,35093633,81568420501,278
andhra-pradesh,chittoor district,2022,1,58561024,1.18E+11,279
andhra-pradesh,guntur district,2022,1,57226996,1.30E+11,280
andhra-pradesh,krishna district,2022,1,61826199,1.40E+11,281
andhra-pradesh,east godavari district,2022,2,62072845,1.36E+11,282
andhra-pradesh,srikakulam district,2022,2,23727353,53754764122,283
andhra-pradesh,spsr nellore district,2022,2,54838708,1.22E+11,284
andhra-pradesh,vizianagaram district,2022,2,21766135,47294745020,285
andhra-pradesh,visakhapatnam district,2022,2,101387402,1.93E+11,286
andhra-pradesh,prakasam district,2022,2,36163507,90435082546,287
andhra-pradesh,anantapur district,2022,2,46099366,1.02E+11,288
andhra-pradesh,ysr district,2022,2,33154559,87601310070,289
andhra-pradesh,west godavari district,2022,2,44409239,1.08E+11,290
andhra-pradesh,kurnool district,2022,2,40165692,92409350856,291
andhra-pradesh,chittoor district,2022,2,67507661,1.36E+11,292
andhra-pradesh,guntur district,2022,2,66315749,1.47E+11,293
andhra-pradesh,krishna district,2022,2,73525814,1.64E+11,294
andhra-pradesh,east godavari district,2022,3,61467134,1.30E+11,295
andhra-pradesh,srikakulam district,2022,3,22126541,46899962922,296
andhra-pradesh,spsr nellore district,2022,3,42116582,95099325968,297
andhra-pradesh,vizianagaram district,2022,3,20440645,42513313395,298
andhra-pradesh,visakhapatnam district,2022,3,97434546,1.81E+11,299
andhra-pradesh,prakasam district,2022,3,35376080,87475230073,300
andhra-pradesh,anantapur district,2022,3,45165363,97735649608,301
andhra-pradesh,ysr district,2022,3,33119038,86016932181,302
andhra-pradesh,west godavari district,2022,3,43635951,1.02E+11,303
andhra-pradesh,kurnool district,2022,3,39557913,88415335176,304
andhra-pradesh,chittoor district,2022,3,65751781,1.33E+11,305
andhra-pradesh,guntur district,2022,3,65612317,1.42E+11,306
andhra-pradesh,krishna district,2022,3,71051144,1.54E+11,307
andhra-pradesh,east godavari district,2022,4,68016055,1.37E+11,308
andhra-pradesh,srikakulam district,2022,4,23693779,47726411108,309
andhra-pradesh,spsr nellore district,2022,4,42582064,92085916181,310
andhra-pradesh,vizianagaram district,2022,4,22205190,44467386404,311
andhra-pradesh,visakhapatnam district,2022,4,103790055,1.85E+11,312
andhra-pradesh,prakasam district,2022,4,37211077,88105031866,313
andhra-pradesh,anantapur district,2022,4,48299601,1.02E+11,314
andhra-pradesh,ysr district,2022,4,35201596,87360426793,315
andhra-pradesh,west godavari district,2022,4,47919930,1.05E+11,316
andhra-pradesh,kurnool district,2022,4,43524766,94667441029,317
andhra-pradesh,chittoor district,2022,4,70322534,1.37E+11,318
andhra-pradesh,guntur district,2022,4,70723763,1.47E+11,319
andhra-pradesh,krishna district,2022,4,76526667,1.58E+11,320
arunachal-pradesh,lower dibang valley district,2018,1,1356,1076236.814,321
arunachal-pradesh,lower subansiri district,2018,1,1477,3650727.894,322
arunachal-pradesh,longding district,2018,1,2321,4361531.578,323
arunachal-pradesh,west siang district,2018,1,1887,4796675.565,324
arunachal-pradesh,kamle district,2018,1,14,7971.330495,325
arunachal-pradesh,upper siang district,2018,1,126,186610.6699,326
arunachal-pradesh,tirap district,2018,1,945,1064265,327
arunachal-pradesh,papum pare district,2018,1,14224,32555848.46,328
arunachal-pradesh,kurung kumey district,2018,1,84,99416.58027,329
arunachal-pradesh,siang district,2018,1,252,339471.8043,330
arunachal-pradesh,lower siang district,2018,1,1292,2337960.715,331
arunachal-pradesh,kra daadi district,2018,1,207,495375.1455,332
arunachal-pradesh,changlang district,2018,1,3195,5380749.415,333
arunachal-pradesh,anjaw district,2018,1,0,0,334
arunachal-pradesh,shi yomi district,2018,1,0,0,335
arunachal-pradesh,pakke kessang district,2018,1,9,9131.404206,336
arunachal-pradesh,dibang valley district,2018,1,2,169.8885654,337
arunachal-pradesh,west kameng district,2018,1,5787,9540632.547,338
arunachal-pradesh,east siang district,2018,1,3286,5533620.186,339
arunachal-pradesh,upper subansiri district,2018,1,735,1358367.502,340
