State,District,Year,Quarter,RegisteredUser,Appopens,S.no
andhra-pradesh,anantapur district,2021,2,1492738,104568606,234
andhra-pradesh,kurnool district,2021,2,1415585,81894678,235
andhra-pradesh,guntur district,2021,2,1968681,88248064,236
andhra-pradesh,krishna district,2021,2,2002662,85771678,237
andhra-pradesh,spsr nellore district,2021,2,1176334,74049216,238
andhra-pradesh,vizianagaram district,2021,2,729509,42684475,239
andhra-pradesh,ysr district,2021,2,1103004,72255265,240
andhra-pradesh,west godavari district,2021,2,1339377,65118788,241
andhra-pradesh,chittoor district,2021,2,1870723,110505432,242
andhra-pradesh,east godavari district,2021,3,2150622,103626560,243
andhra-pradesh,srikakulam district,2021,3,902008,48622126,244
andhra-pradesh,visakhapatnam district,2021,3,2707931,139540800,245
andhra-pradesh,prakasam district,2021,3,1239147,91533813,246
andhra-pradesh,anantapur district,2021,3,1606735,124985545,247
andhra-pradesh,kurnool district,2021,3,1522196,101210508,248
andhra-pradesh,guntur district,2021,3,2110878,106621413,249
andhra-pradesh,krishna district,2021,3,2145423,104358295,250
andhra-pradesh,spsr nellore district,2021,3,1263550,90102349,251
andhra-pradesh,vizianagaram district,2021,3,784444,46277311,252
andhra-pradesh,ysr district,2021,3,1183377,86369956,253
andhra-pradesh,west godavari district,2021,3,1436576,80244808,254
andhra-pradesh,chittoor district,2021,3,2007011,135043395,255
andhra-pradesh,east godavari district,2021,4,2294347,142536856,256
andhra-pradesh,srikakulam district,2021,4,965335,61654215,257
andhra-pradesh,visakhapatnam district,2021,4,2888774,188757640,258
andhra-pradesh,prakasam district,2021,4,1325728,86410317,259
andhra-pradesh,anantapur district,2021,4,1719437,120768682,260
andhra-pradesh,kurnool district,2021,4,1628242,97379271,261
andhra-pradesh,guntur district,2021,4,2252443,130920743,262
andhra-pradesh,krishna district,2021,4,2288148,134436469,263
andhra-pradesh,spsr nellore district,2021,4,1349290,90814672,264
andhra-pradesh,vizianagaram district,2021,4,839606,56101822,265
andhra-pradesh,ysr district,2021,4,1262963,83534122,266
andhra-pradesh,west godavari district,2021,4,1532898,100007280,267
andhra-pradesh,chittoor district,2021,4,2141818,154395512,268
andhra-pradesh,east godavari district,2022,1,2432305,87134562,269
andhra-pradesh,srikakulam district,2022,1,1027283,46691467,270
andhra-pradesh,visakhapatnam district,2022,1,3061324,88803090,271
andhra-pradesh,prakasam district,2022,1,1408929,104851997,272
andhra-pradesh,anantapur district,2022,1,1827094,155792533,273
andhra-pradesh,kurnool district,2022,1,1729513,119653214,274
andhra-pradesh,guntur district,2022,1,2387051,88844052,275
andhra-pradesh,krishna district,2022,1,2423373,85871644,276
andhra-pradesh,spsr nellore district,2022,1,1431664,101671767,277
andhra-pradesh,vizianagaram district,2022,1,892889,44804002,278
andhra-pradesh,ysr district,2022,1,1339782,98878499,279
andhra-pradesh,west godavari district,2022,1,1626039,87642475,280
andhra-pradesh,chittoor district,2022,1,2270705,144146671,281
andhra-pradesh,east godavari district,2022,2,2564165,93383888,282
andhra-pradesh,srikakulam district,2022,2,1086164,51087942,283
andhra-pradesh,visakhapatnam district,2022,2,3226029,93552701,284
andhra-pradesh,prakasam district,2022,2,1487589,108172758,285
andhra-pradesh,anantapur district,2022,2,1928213,181499094,286
andhra-pradesh,kurnool district,2022,2,1825280,136447455,287
andhra-pradesh,guntur district,2022,2,2514794,91997209,288
andhra-pradesh,krishna district,2022,2,2552107,95341487,289
andhra-pradesh,spsr nellore district,2022,2,1509927,108755384,290
andhra-pradesh,vizianagaram district,2022,2,943242,50230853,291
andhra-pradesh,ysr district,2022,2,1412848,106157470,292
andhra-pradesh,west godavari district,2022,2,1714357,103338893,293
andhra-pradesh,chittoor district,2022,2,2392549,158771722,294
andhra-pradesh,east godavari district,2022,3,2702234,85780890,295
andhra-pradesh,srikakulam district,2022,3,1147016,46323107,296
andhra-pradesh,visakhapatnam district,2022,3,3397514,87888969,297
andhra-pradesh,prakasam district,2022,3,1567520,114185009,298
andhra-pradesh,anantapur district,2022,3,2030824,181038520,299
andhra-pradesh,kurnool district,2022,3,1924127,143715547,300
andhra-pradesh,guntur district,2022,3,2647100,91146114,301
andhra-pradesh,krishna district,2022,3,2685215,86220959,302
andhra-pradesh,spsr nellore district,2022,3,1588875,105928407,303
andhra-pradesh,vizianagaram district,2022,3,995141,46767889,304
andhra-pradesh,ysr district,2022,3,1487140,107976611,305
andhra-pradesh,west godavari district,2022,3,1805967,97509407,306
andhra-pradesh,chittoor district,2022,3,2517657,162524274,307
andhra-pradesh,east godavari district,2022,4,2835087,173720880,308
andhra-pradesh,srikakulam district,2022,4,1204785,72666058,309
andhra-pradesh,visakhapatnam district,2022,4,3566854,208604256,310
andhra-pradesh,prakasam district,2022,4,1642503,94432083,311
andhra-pradesh,anantapur district,2022,4,2128066,136685634,312
andhra-pradesh,kurnool district,2022,4,2018290,105333688,313
andhra-pradesh,guntur district,2022,4,2774365,144773169,314
